"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","09-Sep-2020","       2107.10","       2085.00","       2167.80","       2081.45","       2163.55","       2161.35","       2136.84","   25526055","         54545044441.00","     531323","    5716097","         22.39"
"RELIANCE","EQ","10-Sep-2020","       2161.35","       2183.10","       2344.95","       2175.35","       2319.00","       2314.00","       2275.51","   64751766","        147343363142.35","    1233053","   12172158","         18.80"
"RELIANCE","EQ","11-Sep-2020","       2314.00","       2312.00","       2337.85","       2287.10","       2315.00","       2319.75","       2318.58","   27445883","         63635412477.45","     599768","    6427971","         23.42"
"RELIANCE","EQ","14-Sep-2020","       2319.75","       2325.00","       2360.00","       2282.00","       2296.25","       2302.55","       2323.57","   20335480","         47250941267.35","     450188","    3578138","         17.60"
"RELIANCE","EQ","15-Sep-2020","       2302.55","       2311.95","       2325.75","       2288.15","       2324.00","       2318.85","       2311.23","   12543161","         28990110978.15","     270331","    2498608","         19.92"
"RELIANCE","EQ","16-Sep-2020","       2318.85","       2320.00","       2369.35","       2310.55","       2324.90","       2324.55","       2339.46","   15669133","         36657370887.95","     321651","    3528875","         22.52"
"RELIANCE","EQ","17-Sep-2020","       2324.55","       2320.00","       2333.70","       2291.85","       2296.00","       2298.75","       2310.29","   11919991","         27538576983.55","     286325","    3285052","         27.56"
"RELIANCE","EQ","18-Sep-2020","       2298.75","       2314.25","       2319.45","       2276.55","       2303.60","       2305.70","       2305.10","   15264101","         35185252645.85","     219641","    6340779","         41.54"
"RELIANCE","EQ","21-Sep-2020","       2305.70","       2300.00","       2336.00","       2247.35","       2250.00","       2255.85","       2291.38","   15519433","         35560977455.15","     342489","    5046850","         32.52"
"RELIANCE","EQ","22-Sep-2020","       2255.85","       2277.00","       2277.00","       2201.55","       2220.05","       2211.15","       2225.36","   16056621","         35731708478.55","     348897","    6138633","         38.23"
"RELIANCE","EQ","23-Sep-2020","       2211.15","       2260.00","       2276.75","       2205.30","       2228.00","       2230.80","       2242.58","   19839809","         44492265342.30","     384190","    3749875","         18.90"
"RELIANCE","EQ","24-Sep-2020","       2230.80","       2207.90","       2226.00","       2176.05","       2195.00","       2181.20","       2200.65","   13765321","         30292605688.25","     328090","    4092237","         29.73"
"RELIANCE","EQ","25-Sep-2020","       2181.20","       2189.00","       2212.80","       2167.30","       2198.85","       2201.70","       2191.17","   13095950","         28695471561.35","     329859","    2793738","         21.33"
"RELIANCE","EQ","28-Sep-2020","       2201.70","       2227.00","       2238.00","       2207.05","       2218.00","       2216.25","       2221.39","    9076787","         20163062603.55","     213955","    1610375","         17.74"
"RELIANCE","EQ","29-Sep-2020","       2216.25","       2225.00","       2264.00","       2216.25","       2241.90","       2245.05","       2242.30","   11927459","         26744967680.50","     269649","    2301443","         19.30"
"RELIANCE","EQ","30-Sep-2020","       2245.05","       2260.00","       2267.00","       2225.00","       2231.00","       2234.35","       2251.01","   11291280","         25416740703.85","     232560","    2777751","         24.60"
"RELIANCE","EQ","01-Oct-2020","       2234.35","       2263.80","       2263.80","       2214.00","       2229.05","       2225.25","       2237.62","    9591467","         21462014627.70","     237645","    2356434","         24.57"
"RELIANCE","EQ","05-Oct-2020","       2225.25","       2244.00","       2249.15","       2206.00","       2215.00","       2212.20","       2222.94","    8732890","         19412649755.80","     237138","    1671283","         19.14"
"RELIANCE","EQ","06-Oct-2020","       2212.20","       2225.25","       2233.90","       2201.65","       2213.00","       2210.35","       2213.64","    8497352","         18810040908.25","     230575","    2565411","         30.19"
"RELIANCE","EQ","07-Oct-2020","       2210.35","       2235.00","       2309.00","       2220.00","       2259.40","       2257.50","       2276.27","   24538620","         55856495761.45","     542898","    3167121","         12.91"
"RELIANCE","EQ","08-Oct-2020","       2257.50","       2259.00","       2268.00","       2222.10","       2241.50","       2239.25","       2242.24","    9727508","         21811437285.25","     251543","    2761519","         28.39"
"RELIANCE","EQ","09-Oct-2020","       2239.25","       2235.00","       2253.00","       2217.10","       2239.00","       2233.45","       2232.05","    8558747","         19103582648.40","     215729","    2908038","         33.98"
"RELIANCE","EQ","12-Oct-2020","       2233.45","       2235.00","       2255.75","       2226.25","       2236.00","       2237.05","       2239.55","    6565525","         14703804367.10","     146831","    1868691","         28.46"
"RELIANCE","EQ","13-Oct-2020","       2237.05","       2230.60","       2285.75","       2225.85","       2279.00","       2280.70","       2259.76","   10666280","         24103209104.25","     255851","    3449962","         32.34"
"RELIANCE","EQ","14-Oct-2020","       2280.70","       2278.90","       2304.00","       2268.50","       2283.00","       2287.50","       2284.78","   12341487","         28197589496.85","     281008","    4373851","         35.44"
"RELIANCE","EQ","15-Oct-2020","       2287.50","       2290.00","       2290.00","       2195.00","       2203.25","       2206.50","       2241.04","    9246893","         20722639246.60","     265699","    3100443","         33.53"
